"dsmodel","n","nopt","p","q","optimizer","objective","elapsed","neval"
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","Nelder_Mead",9.970955873868046,0.021,44
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","NLOPT_LN_BOBYQA",9.97095587386735,0.018,10
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","NLOPT_LN_COBYLA",9.970955873938685,0.019,24
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","NLOPT_LN_NELDERMEAD",9.97095598038161,0.019,24
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","NLOPT_LN_SBPLX",9.970955980381614,0.02,30
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","optimx:L-BFGS-B",9.970955873864781,0.104,14
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","optimx:nlminb",9.970955873865854,0.105,15
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","optimx:spg",9.970955873864696,0.189,NA
"AvgDailyGain:1+A*U+(1|G)",32,1,8,"8","optimx:bobyqa",9.970955873864675,0.105,NA
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","LN_BOBYQA",13.617215626584052,0.000439551,17
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","LN_COBYLA",13.61721562666418,0.000473891,26
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","LN_NELDERMEAD",13.617215628366921,0.000467923,32
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","LN_SBPLX",13.61721562666418,0.00054731,52
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","bobyqa",13.617215626585473,0.016,17
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","Nelder_Mead",13.617215626594685,0.02,40
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","NLOPT_LN_BOBYQA",13.617215626585477,0.019,15
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","NLOPT_LN_COBYLA",13.617215627314703,0.019,23
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","NLOPT_LN_NELDERMEAD",13.617216445392518,0.019,22
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","NLOPT_LN_SBPLX",13.617215627314707,0.02,30
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","optimx:L-BFGS-B",13.617215626585626,0.103,16
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","optimx:nlminb",13.617215626586951,0.118,17
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","optimx:spg",13.617215626585459,0.188,NA
"AvgDailyGain:1+A+U+(1|G)",32,1,5,"8","optimx:bobyqa",13.617215626585473,0.104,NA
"BIB:1+A*U+(1|G)",24,1,8,"8","LN_BOBYQA",92.99146412318385,0.000591065,32
"BIB:1+A*U+(1|G)",24,1,8,"8","LN_COBYLA",92.99146412446538,0.000541229,27
"BIB:1+A*U+(1|G)",24,1,8,"8","LN_NELDERMEAD",92.99146413915494,0.000543944,30
"BIB:1+A*U+(1|G)",24,1,8,"8","LN_SBPLX",92.99146413915494,0.000601952,42
